,What is your age?,Current educational position?,Gender?,Your  current CGPA?,Your Higher Secondary School(H. SC) or A level or equivalent result?,At what age you had started playing games?,Do you play games on mobile or pc?,When you go to sleep?,Do you attend your morning class regularly?,The average time you spend playing games?,Which type of game you addict more?,Do you read newspaper?,Which type of game you played most?,How many time you spend with family and friend?,How you fill when you can not play game in whole day?,How you fill to complete game level?,If you didn't finish games last level what is your feeling?,Do you fill Fatigue?,Do you play games for stress relief?,Are you wearing glasses?
32,21,Bachelor Level,Male,3.25,4.92,19,Mobile,0,Yes,3,PUBG,Not regular,Paid,2,negative,Excited,Excited to complete level,No,Yes,No
34,22,Bachelor Level,Male,3.67,5.0,19,Mobile,2,No,1,FIFA,Not regular,Non Paid,0,positive,Excited,Excited to complete level,Yes,No,No
35,23,Bachelor Level,Male,3.33,4.5,15,Mobile,0,Yes,2,PUBG,Regular,Non Paid,5,positive,Excited,Excited to complete level,Yes,Yes,No
36,23,Bachelor Level,Male,4.0,5.0,10,PC,1,No,3,CALL OF DUTY,Not regular,Non Paid,7,positive,Excited,Stressed,Yes,Yes,Yes
40,23,Bachelor Level,Male,3.0,4.08,12,Mobile,0,Yes,2,PUBG,Not regular,Non Paid,3,positive,Excited,Excited to complete level,Yes,No,No
41,22,Bachelor Level,Male,3.69,4.92,18,Mobile,8,Yes,1,FREE FIRE,Not regular,Paid,6,positive,Excited,Excited to complete level,No,Yes,No
42,24,Bachelor Level,Male,3.4,4.67,5,Mobile,1,No,0,FIFA,Not regular,Non Paid,0,negative,Excited,Excited to complete level,Yes,Yes,Yes
45,22,Bachelor Level,Male,4.0,5.0,15,Mobile,23,Yes,1,COC,Not regular,Non Paid,2,negative,Excited,Excited to complete level,Yes,Yes,Yes
47,18,Bachelor Level,Male,3.54,5.0,15,"Mobile, PC",1,Yes,4,PUBG,Not regular,Non Paid,1,positive,Excited,Excited to complete level,No,Yes,Yes
48,22,Bachelor Level,Male,3.7,5.0,15,PC,1,Yes,1,FIFA,Not regular,Non Paid,5,positive,Excited,No feeling,No,Yes,Yes
51,24,Master's Level,Male,3.6,3.17,17,Mobile,23,Yes,1,CALL OF DUTY,Regular,Non Paid,4,positive,Bored,Excited to complete level,Yes,No,Yes
52,21,Bachelor Level,Male,3.1,4.89,7,"Mobile, PC",4,No,7,PUBG,Not regular,Non Paid,1,negative,Excited,Excited to complete level,No,Yes,No
53,19,Bachelor Level,Male,3.0,5.0,13,Mobile,7,Yes,5,FIFA,Not regular,Non Paid,7,negative,Excited,Stressed,Yes,Yes,No
54,21,Bachelor Level,Male,3.48,5.0,12,Mobile,1,No,2,COC,Not regular,Non Paid,5,positive,Excited,Excited to complete level,No,No,Yes
55,21,Bachelor Level,Male,2.5,5.0,14,"Mobile, PC",1,Yes,1,PUBG,Regular,Non Paid,0,positive,Excited,No feeling,No,Yes,No
56,20,Bachelor Level,Male,2.33,5.0,14,"Mobile, PC",4,Yes,8,PUBG,Not regular,Non Paid,3,negative,Excited,Excited to complete level,Yes,Yes,No
60,20,Bachelor Level,Female,2.58,4.91,14,Mobile,1,No,6,CALL OF DUTY,Not regular,Non Paid,3,negative,Excited,Stressed,Yes,Yes,No
62,21,Bachelor Level,Male,2.62,3.92,12,"Mobile, PC",4,No,7,FIFA,Not regular,Non Paid,3,negative,Excited,Stressed,No,No,No
63,18,Bachelor Level,Male,2.5,5.0,12,Mobile,0,Yes,4,PUBG,Not regular,Non Paid,2,negative,Bored,Excited to complete level,Yes,Yes,No
65,22,Bachelor Level,Male,3.74,5.0,14,Mobile,1,Yes,1,FREE FIRE,Not regular,Non Paid,4,neutral,Excited,No feeling,No,Yes,No
68,18,Bachelor Level,Male,2.5,5.0,12,"Mobile, PC",1,Yes,3,PUBG,Not regular,Paid,2,negative,Excited,Excited to complete level,Yes,No,No
69,19,Bachelor Level,Male,2.89,4.81,14,Mobile,2,Yes,1,COC,Not regular,Non Paid,6,positive,Excited,Excited to complete level,Yes,No,No
74,23,Bachelor Level,Male,3.82,4.5,12,"Mobile, PC",23,Yes,1,PUBG,Not regular,Non Paid,3,positive,Bored,No feeling,No,No,No
75,22,Bachelor Level,Male,3.73,4.69,9,"Mobile, PC",1,Yes,2,FREE FIRE,Regular,Non Paid,4,positive,Excited,Excited to complete level,Yes,No,Yes
76,24,Master's Level,Male,3.3,5.0,16,"Mobile, PC",5,No,2,COC,Not regular,Non Paid,0,neutral,Bored,Stressed,No,No,Yes
77,21,Bachelor Level,Male,3.45,4.67,7,"Mobile, PC",3,Yes,2,FIFA,Not regular,Non Paid,5,positive,Excited,Excited to complete level,Yes,Yes,Yes
78,22,Bachelor Level,Male,3.0,5.0,5,"Mobile, PC",2,No,2,COC,Not regular,Non Paid,2,positive,Excited,Excited to complete level,No,Yes,No
79,21,Bachelor Level,Male,3.0,4.5,12,Mobile,0,Yes,2,PUBG,Not regular,Non Paid,7,positive,Excited,Excited to complete level,No,No,No
84,22,Bachelor Level,Male,3.5,5.0,17,"Mobile, PC",2,No,5,PUBG,Not regular,Non Paid,2,negative,Excited,Stressed,Yes,No,Yes
85,23,Bachelor Level,Male,3.54,4.5,17,PC,3,Yes,1,FIFA,Regular,Paid,2,positive,Bored,No feeling,No,Yes,No
88,28,Master's Level,Male,3.7,5.0,6,"Mobile, PC",0,Yes,2,COC,Not regular,Non Paid,1,neutral,Excited,No feeling,No,Yes,No
90,23,Bachelor Level,Male,3.22,4.34,10,Mobile,4,No,3,FIFA,Not regular,Paid,7,negative,Excited,No feeling,Yes,No,Yes
92,24,Bachelor Level,Male,3.91,4.58,12,Mobile,1,Yes,4,PUBG,Not regular,Non Paid,5,neutral,Excited,Stressed,Yes,Yes,Yes
93,21,Bachelor Level,Female,3.0,5.0,20,Mobile,22,Yes,1,FIFA,Not regular,Non Paid,7,positive,Excited,No feeling,No,No,No
94,24,Bachelor Level,Male,3.0,4.58,22,Mobile,0,No,8,PUBG,Not regular,Non Paid,4,positive,Excited,Excited to complete level,Yes,Yes,No
95,21,Bachelor Level,Male,3.0,4.67,16,"Mobile, PC",1,No,0,PUBG,Not regular,Non Paid,4,negative,Excited,Excited to complete level,No,Yes,No
97,25,Bachelor Level,Male,3.17,5.0,18,Mobile,1,Yes,1,FIFA,Not regular,Non Paid,6,positive,Excited,Stressed,No,No,No
98,23,Master's Level,Female,3.63,4.5,20,Mobile,0,Yes,1,COC,Not regular,Non Paid,2,negative,Bored,Stressed,Yes,Yes,No
99,24,Bachelor Level,Male,3.56,2.61,18,Mobile,0,Yes,2,FIFA,Not regular,Non Paid,4,positive,Excited,No feeling,Yes,Yes,No
100,27,Master's Level,Male,3.0,4.92,18,PC,1,Yes,0,FIFA,Not regular,Non Paid,4,positive,Bored,No feeling,No,No,No
101,25,Master's Level,Male,3.3,3.0,20,PC,23,Yes,1,PUBG,Regular,Non Paid,4,positive,Excited,Excited to complete level,Yes,Yes,Yes
102,23,Bachelor Level,Male,3.2,4.6,19,"Mobile, PC",0,Yes,4,FIFA,Regular,Non Paid,3,positive,Excited,Stressed,Yes,No,No
105,24,Bachelor Level,Male,3.1,4.5,14,"Mobile, PC",4,No,2,PUBG,Not regular,Non Paid,4,positive,Excited,No feeling,No,Yes,No
106,23,Bachelor Level,Male,3.17,3.67,15,Mobile,1,Yes,3,FREE FIRE,Not regular,Non Paid,5,positive,Excited,Excited to complete level,Yes,No,No
107,20,Bachelor Level,Male,3.3,3.0,18,Mobile,23,Yes,2,FIFA,Regular,Non Paid,1,negative,Excited,Stressed,Yes,Yes,Yes
108,26,Master's Level,Male,2.67,3.0,17,Mobile,23,No,1,FREE FIRE,Regular,Non Paid,1,negative,Excited,No feeling,Yes,Yes,No
109,22,Master's Level,Male,3.12,4.0,16,PC,22,No,2,PUBG,Regular,Non Paid,6,negative,Excited,Excited to complete level,Yes,No,Yes
110,19,Bachelor Level,Female,3.25,4.0,15,Mobile,23,Yes,4,FIFA,Regular,Non Paid,4,negative,Bored,No feeling,Yes,Yes,Yes
111,21,Bachelor Level,Female,3.3,3.0,18,"Mobile, PC",0,Yes,4,PUBG,Regular,Paid,7,negative,Bored,No feeling,Yes,Yes,No
112,22,Bachelor Level,Male,3.45,4.6,19,Mobile,0,Yes,1,FIFA,Not regular,Non Paid,2,positive,Excited,No feeling,Yes,No,No
113,25,Bachelor Level,Male,3.0,4.88,20,Mobile,3,Yes,6,PUBG,Not regular,Non Paid,6,negative,Bored,No feeling,Yes,Yes,No
115,22,Bachelor Level,Male,3.5,4.5,15,Mobile,2,Yes,2,FREE FIRE,Not regular,Non Paid,7,positive,Excited,No feeling,No,No,No
117,25,Bachelor Level,Male,3.48,3.2,16,"Mobile, PC",1,Yes,2,PUBG,Not regular,Non Paid,3,positive,Bored,No feeling,No,Yes,Yes
123,22,Master's Level,Male,2.5,4.4,23,Mobile,4,Yes,5,PUBG,Regular,Paid,2,negative,Excited,Stressed,Yes,Yes,No
124,23,Bachelor Level,Male,3.0,3.0,20,Mobile,23,Yes,6,FIFA,Regular,Non Paid,6,negative,Excited,Stressed,Yes,Yes,No
125,22,Bachelor Level,Female,2.65,4.5,19,Mobile,23,No,5,PUBG,Regular,Paid,1,negative,Bored,Excited to complete level,Yes,Yes,No
126,20,Bachelor Level,Female,2.47,3.71,20,PC,22,No,6,IGA,Regular,Paid,1,negative,Bored,Stressed,Yes,No,Yes
127,30,Master's Level,Female,3.0,3.87,18,PC,0,Yes,6,FREE FIRE,Regular,Paid,3,negative,Excited,Stressed,Yes,No,Yes
128,20,Bachelor Level,Female,2.45,3.4,19,PC,23,No,3,PES,Not regular,Paid,3,negative,Excited,Stressed,Yes,Yes,Yes
129,23,Bachelor Level,Male,3.39,4.46,23,Mobile,23,No,6,PUBG,Not regular,Paid,3,negative,Bored,Excited to complete level,No,No,No
130,20,Bachelor Level,Male,2.49,3.04,16,Mobile,2,No,6,COC,Regular,Paid,3,negative,Bored,Stressed,No,No,No
131,22,Bachelor Level,Male,3.56,3.03,19,Mobile,2,No,2,PES,Regular,Paid,3,negative,Bored,Stressed,Yes,Yes,Yes
132,28,Master's Level,Male,2.45,4.91,20,PC,23,No,6,PES,Regular,Paid,3,negative,Excited,Excited to complete level,No,Yes,No
133,22,Bachelor Level,Female,3.53,4.0,19,PC,2,No,6,PES,Not regular,Paid,3,negative,Excited,Excited to complete level,No,Yes,No
134,22,Bachelor Level,Male,3.14,4.82,18,Mobile,22,Yes,6,IGA,Regular,Paid,1,negative,Excited,Excited to complete level,No,Yes,No
135,26,Master's Level,Male,3.76,4.81,19,PC,0,Yes,5,PUBG,Not regular,Paid,1,negative,Excited,Excited to complete level,Yes,No,No
136,21,Bachelor Level,Female,2.42,4.0,24,Mobile,23,Yes,6,FREE FIRE,Not regular,Paid,2,positive,Excited,Stressed,No,Yes,Yes
137,28,Master's Level,Male,3.51,4.83,21,PC,0,No,3,FIFA,Regular,Paid,1,positive,Bored,Excited to complete level,Yes,No,Yes
138,20,Bachelor Level,Female,3.8,4.01,17,Mobile,1,Yes,6,PES,Not regular,Paid,3,positive,Excited,Excited to complete level,No,Yes,Yes
139,25,Bachelor Level,Female,3.47,4.0,21,Mobile,23,No,2,PES,Regular,Paid,3,positive,Excited,Stressed,No,Yes,Yes
140,29,Master's Level,Male,2.86,3.83,22,PC,1,Yes,5,COC,Regular,Paid,2,negative,Excited,No feeling,No,Yes,No
141,28,Master's Level,Female,3.61,4.41,16,Mobile,1,No,3,PES,Not regular,Paid,1,positive,Excited,No feeling,Yes,Yes,Yes
142,27,Master's Level,Female,3.19,4.53,18,PC,23,Yes,6,PES,Not regular,Paid,2,negative,Bored,Excited to complete level,Yes,No,No
143,22,Bachelor Level,Female,3.1,3.98,22,PC,22,Yes,2,PUBG,Regular,Paid,2,negative,Bored,Stressed,No,No,Yes
144,29,Master's Level,Female,3.86,4.0,24,Mobile,1,No,2,IGA,Not regular,Paid,1,negative,Bored,Excited to complete level,Yes,Yes,Yes
145,21,Bachelor Level,Male,2.36,4.0,23,Mobile,1,Yes,3,IGA,Regular,Paid,2,negative,Bored,Excited to complete level,Yes,No,Yes
146,29,Master's Level,Female,3.3,4.51,22,PC,22,Yes,6,FREE FIRE,Not regular,Paid,3,negative,Bored,No feeling,No,Yes,Yes
147,21,Bachelor Level,Male,3.71,3.33,21,PC,22,No,6,PES,Regular,Paid,3,negative,Excited,Stressed,Yes,No,Yes
148,29,Master's Level,Female,3.04,4.55,20,PC,23,Yes,4,IGA,Not regular,Paid,2,negative,Excited,Excited to complete level,Yes,Yes,No
149,28,Master's Level,Female,3.11,4.36,18,PC,1,Yes,5,PUBG,Not regular,Paid,2,negative,Bored,Excited to complete level,No,No,Yes
150,25,Bachelor Level,Male,2.69,3.68,16,PC,0,Yes,3,FREE FIRE,Not regular,Paid,1,negative,Bored,Stressed,Yes,No,No
151,20,Bachelor Level,Female,3.94,4.25,18,PC,23,Yes,3,PUBG,Not regular,Paid,2,positive,Bored,Excited to complete level,No,Yes,No
152,30,Master's Level,Male,3.24,4.6,17,PC,0,No,2,PUBG,Regular,Paid,2,negative,Excited,No feeling,Yes,No,Yes
153,28,Master's Level,Male,3.28,4.81,17,PC,0,Yes,6,IGA,Not regular,Paid,3,negative,Bored,Stressed,No,Yes,Yes
154,20,Bachelor Level,Male,3.91,5.0,20,Mobile,0,Yes,4,PES,Not regular,Paid,2,positive,Bored,No feeling,Yes,Yes,Yes
155,21,Bachelor Level,Female,2.68,3.76,23,Mobile,23,No,3,FREE FIRE,Not regular,Paid,2,negative,Bored,Excited to complete level,Yes,Yes,Yes
156,24,Bachelor Level,Female,4.0,3.0,22,Mobile,0,Yes,3,PUBG,Regular,Paid,3,negative,Excited,Stressed,Yes,No,Yes
157,24,Bachelor Level,Female,3.02,3.11,18,PC,0,Yes,4,IGA,Not regular,Paid,1,negative,Excited,Stressed,Yes,Yes,Yes
158,23,Bachelor Level,Female,3.85,3.95,18,PC,1,No,4,FREE FIRE,Regular,Paid,2,negative,Bored,Excited to complete level,Yes,No,Yes
159,30,Master's Level,Male,3.85,3.34,17,PC,0,No,3,CALL OF DUTY,Regular,Paid,2,negative,Bored,No feeling,No,No,No
160,27,Master's Level,Male,3.58,4.81,24,PC,1,No,4,PES,Regular,Paid,2,negative,Bored,Excited to complete level,Yes,Yes,No
161,21,Bachelor Level,Male,3.54,4.51,16,Mobile,23,No,6,FIFA,Not regular,Paid,3,negative,Excited,Excited to complete level,No,Yes,No
162,24,Bachelor Level,Male,2.94,4.9,20,Mobile,22,No,5,FREE FIRE,Regular,Paid,1,negative,Excited,Stressed,Yes,Yes,No
163,26,Master's Level,Female,2.34,4.51,23,PC,23,No,4,COC,Regular,Paid,3,positive,Excited,No feeling,No,Yes,Yes
164,28,Master's Level,Female,2.7,4.0,22,PC,22,No,4,PUBG,Regular,Paid,3,negative,Bored,Excited to complete level,No,Yes,Yes
165,30,Master's Level,Male,3.87,4.2,20,PC,2,Yes,4,COC,Not regular,Paid,2,negative,Bored,No feeling,No,Yes,No
166,23,Bachelor Level,Female,3.08,3.51,23,Mobile,22,No,5,PES,Regular,Paid,3,positive,Bored,Excited to complete level,No,No,Yes
167,30,Master's Level,Female,3.84,4.83,18,Mobile,22,No,4,COC,Not regular,Paid,2,negative,Bored,Excited to complete level,No,Yes,No
168,27,Master's Level,Male,3.09,4.0,19,Mobile,2,No,6,PES,Not regular,Paid,1,negative,Bored,No feeling,Yes,No,No
169,20,Bachelor Level,Female,3.06,4.5,24,Mobile,23,Yes,2,FREE FIRE,Not regular,Paid,3,negative,Excited,Stressed,Yes,No,No
170,25,Bachelor Level,Male,3.33,4.5,23,Mobile,1,Yes,3,PUBG,Not regular,Paid,1,negative,Excited,Excited to complete level,Yes,Yes,Yes
171,22,Bachelor Level,Female,2.99,4.81,17,PC,23,Yes,6,FREE FIRE,Regular,Paid,1,negative,Bored,Stressed,No,No,Yes
172,21,Bachelor Level,Male,3.78,4.1,24,Mobile,0,Yes,6,PUBG,Regular,Paid,2,positive,Excited,Excited to complete level,No,No,No
173,21,Bachelor Level,Female,2.72,5.0,16,PC,1,Yes,2,FIFA,Regular,Paid,2,negative,Excited,No feeling,Yes,Yes,No
174,29,Master's Level,Female,3.17,3.69,20,Mobile,0,No,3,FREE FIRE,Regular,Paid,1,negative,Excited,Excited to complete level,No,No,No
175,27,Master's Level,Male,3.57,4.52,17,Mobile,22,Yes,2,CALL OF DUTY,Regular,Paid,1,negative,Bored,Excited to complete level,No,No,No
176,25,Bachelor Level,Female,4.0,4.41,22,PC,23,Yes,5,IGA,Not regular,Paid,1,positive,Bored,No feeling,Yes,No,No
177,26,Master's Level,Female,2.68,4.49,23,PC,22,No,3,FREE FIRE,Regular,Paid,2,negative,Bored,Excited to complete level,No,Yes,No
178,24,Bachelor Level,Female,2.84,4.45,18,Mobile,1,No,4,CALL OF DUTY,Regular,Paid,2,negative,Bored,Excited to complete level,Yes,Yes,Yes
179,30,Master's Level,Female,3.21,3.77,16,Mobile,0,Yes,4,COC,Regular,Paid,2,negative,Bored,No feeling,Yes,No,Yes
180,25,Bachelor Level,Male,2.94,4.53,17,PC,23,Yes,6,IGA,Regular,Paid,1,negative,Bored,Excited to complete level,No,No,Yes
181,23,Bachelor Level,Male,3.46,3.62,21,PC,2,Yes,6,FREE FIRE,Regular,Paid,1,negative,Bored,No feeling,No,No,Yes
182,21,Bachelor Level,Male,3.34,4.0,22,PC,1,No,3,CALL OF DUTY,Not regular,Paid,3,negative,Bored,Stressed,Yes,No,Yes
183,23,Bachelor Level,Male,2.9,3.33,20,PC,1,No,4,COC,Not regular,Paid,2,negative,Bored,Stressed,Yes,Yes,Yes
184,20,Bachelor Level,Male,2.32,4.2,20,Mobile,1,Yes,3,FIFA,Not regular,Paid,1,negative,Excited,Stressed,Yes,Yes,No
185,22,Bachelor Level,Female,3.5,3.52,22,PC,1,No,5,FREE FIRE,Regular,Paid,3,negative,Bored,Excited to complete level,Yes,No,Yes
186,21,Bachelor Level,Male,2.83,4.6,19,PC,22,No,3,PES,Regular,Paid,3,negative,Bored,Stressed,No,No,No
187,26,Master's Level,Female,2.62,3.29,22,PC,1,No,5,CALL OF DUTY,Not regular,Paid,2,negative,Excited,No feeling,Yes,No,No
188,30,Master's Level,Female,2.74,3.81,24,PC,2,Yes,5,CALL OF DUTY,Not regular,Paid,1,positive,Bored,Excited to complete level,Yes,Yes,Yes
189,29,Master's Level,Female,3.28,4.79,20,Mobile,22,Yes,3,COC,Regular,Paid,2,positive,Excited,Excited to complete level,Yes,No,Yes
190,27,Master's Level,Female,2.73,4.33,16,PC,23,No,5,PES,Not regular,Paid,3,positive,Excited,Stressed,Yes,Yes,No
191,21,Bachelor Level,Female,3.52,4.82,23,PC,2,No,6,FREE FIRE,Not regular,Paid,3,negative,Bored,Stressed,Yes,Yes,Yes
192,28,Master's Level,Male,3.79,3.87,16,Mobile,23,No,4,CALL OF DUTY,Not regular,Paid,3,negative,Excited,No feeling,No,Yes,Yes
193,20,Bachelor Level,Female,3.73,4.85,18,Mobile,23,Yes,3,FIFA,Not regular,Paid,2,negative,Bored,Excited to complete level,No,Yes,Yes
194,29,Master's Level,Female,3.48,3.03,21,Mobile,2,Yes,3,CALL OF DUTY,Not regular,Paid,2,negative,Excited,No feeling,Yes,Yes,No
195,30,Master's Level,Male,3.53,3.04,18,PC,22,No,2,PUBG,Regular,Paid,3,negative,Bored,Excited to complete level,No,Yes,Yes
196,21,Bachelor Level,Male,2.95,3.14,16,PC,23,Yes,2,PES,Regular,Paid,3,positive,Bored,Stressed,Yes,No,Yes
197,27,Master's Level,Female,3.68,4.99,18,Mobile,23,Yes,6,FREE FIRE,Not regular,Paid,1,negative,Excited,Stressed,No,No,Yes
198,30,Master's Level,Female,3.99,5.0,20,Mobile,1,Yes,3,COC,Not regular,Paid,1,positive,Bored,Excited to complete level,Yes,No,Yes
199,27,Master's Level,Male,3.2,4.2,21,PC,0,No,3,PUBG,Not regular,Paid,3,negative,Bored,Stressed,No,Yes,Yes
200,20,Bachelor Level,Female,2.47,3.71,20,PC,22,No,6,IGA,Regular,Paid,1,negative,Bored,Stressed,Yes,No,Yes
201,30,Master's Level,Female,3.0,3.87,18,PC,0,Yes,6,FREE FIRE,Regular,Paid,3,negative,Excited,Stressed,Yes,No,Yes
202,20,Bachelor Level,Female,2.45,3.4,19,PC,23,No,3,PES,Not regular,Paid,3,negative,Excited,Stressed,Yes,Yes,Yes
203,23,Bachelor Level,Male,3.39,4.46,23,Mobile,23,No,6,PUBG,Not regular,Paid,3,negative,Bored,Excited to complete level,No,No,No
204,20,Bachelor Level,Male,2.49,3.04,16,Mobile,2,No,6,COC,Regular,Paid,3,negative,Bored,Stressed,No,No,No
205,22,Bachelor Level,Male,3.56,3.03,19,Mobile,2,No,2,PES,Regular,Paid,3,negative,Bored,Stressed,Yes,Yes,Yes
206,28,Master's Level,Male,2.45,4.91,20,PC,23,No,6,PES,Regular,Paid,3,negative,Excited,Excited to complete level,No,Yes,No
207,22,Bachelor Level,Female,3.53,4.73,19,PC,2,No,6,PES,Not regular,Paid,3,negative,Excited,Excited to complete level,No,Yes,No
208,22,Bachelor Level,Male,3.14,4.21,18,Mobile,22,Yes,6,IGA,Regular,Paid,1,negative,Excited,Excited to complete level,No,Yes,No
209,26,Master's Level,Male,3.76,4.28,19,PC,0,Yes,5,PUBG,Not regular,Paid,1,negative,Excited,Excited to complete level,Yes,No,No
210,21,Bachelor Level,Female,2.42,4.98,24,Mobile,23,Yes,6,FREE FIRE,Not regular,Paid,2,positive,Excited,Stressed,No,Yes,Yes
211,28,Master's Level,Male,3.51,4.83,21,PC,0,No,3,FIFA,Regular,Paid,1,positive,Bored,Excited to complete level,Yes,No,Yes
212,20,Bachelor Level,Female,3.8,4.0,17,Mobile,1,Yes,6,PES,Not regular,Paid,3,positive,Excited,Excited to complete level,No,Yes,Yes
213,25,Bachelor Level,Female,3.47,4.23,21,Mobile,23,No,2,PES,Regular,Paid,3,positive,Excited,Stressed,No,Yes,Yes
214,29,Master's Level,Male,2.86,3.43,22,PC,1,Yes,5,COC,Regular,Paid,2,negative,Excited,No feeling,No,Yes,No
215,28,Master's Level,Female,3.61,4.41,16,Mobile,1,No,3,PES,Not regular,Paid,1,positive,Excited,No feeling,Yes,Yes,Yes
216,27,Master's Level,Female,3.19,4.53,18,PC,23,Yes,6,PES,Not regular,Paid,2,negative,Bored,Excited to complete level,Yes,No,No
217,22,Bachelor Level,Female,3.1,3.98,22,PC,22,Yes,2,PUBG,Regular,Paid,2,negative,Bored,Stressed,No,No,Yes
218,29,Master's Level,Female,3.86,4.0,24,Mobile,1,No,2,IGA,Not regular,Paid,1,negative,Bored,Excited to complete level,Yes,Yes,Yes
219,21,Bachelor Level,Male,2.36,4.62,23,Mobile,1,Yes,3,IGA,Regular,Paid,2,negative,Bored,Excited to complete level,Yes,No,Yes
220,29,Master's Level,Female,3.3,4.51,22,PC,22,Yes,6,FREE FIRE,Not regular,Paid,3,negative,Bored,No feeling,No,Yes,Yes
221,21,Bachelor Level,Male,3.71,3.33,21,PC,22,No,6,PES,Regular,Paid,3,negative,Excited,Stressed,Yes,No,Yes
222,29,Master's Level,Female,3.04,4.55,20,PC,23,Yes,4,IGA,Not regular,Paid,2,negative,Excited,Excited to complete level,Yes,Yes,No
223,28,Master's Level,Female,3.11,4.36,18,PC,1,Yes,5,PUBG,Not regular,Paid,2,negative,Bored,Excited to complete level,No,No,Yes
224,25,Bachelor Level,Male,2.69,3.68,16,PC,0,Yes,3,FREE FIRE,Not regular,Paid,1,negative,Bored,Stressed,Yes,No,No
225,20,Bachelor Level,Female,3.94,4.25,18,PC,23,Yes,3,PUBG,Not regular,Paid,2,positive,Bored,Excited to complete level,No,Yes,No
226,30,Master's Level,Male,3.24,4.0,17,PC,0,No,2,PUBG,Regular,Paid,2,negative,Excited,No feeling,Yes,No,Yes
227,28,Master's Level,Male,3.28,5.0,17,PC,0,Yes,6,IGA,Not regular,Paid,3,negative,Bored,Stressed,No,Yes,Yes
228,20,Bachelor Level,Male,3.91,4.2,20,Mobile,0,Yes,4,PES,Not regular,Paid,2,positive,Bored,No feeling,Yes,Yes,Yes
229,21,Bachelor Level,Female,2.68,3.76,23,Mobile,23,No,3,FREE FIRE,Not regular,Paid,2,negative,Bored,Excited to complete level,Yes,Yes,Yes
230,24,Bachelor Level,Female,4.0,3.0,22,Mobile,0,Yes,3,PUBG,Regular,Paid,3,negative,Excited,Stressed,Yes,No,Yes
